code,description,OR,p_val,category
401.22,Hypertensive chronic kidney disease,0.7326464769024165,0.33743575662225483,circulatory system
401.30,Other hypertensive complications,1.4684089268615934,0.05879417950381525,circulatory system
411.00,Ischemic Heart Disease,0.8483127395765484,0.28264874268373785,circulatory system
071.00,Human immunodeficiency virus [HIV] disease,1.2316290862643626,0.8082612822217621,infectious diseases
578.90,Hemorrhage of gastrointestinal tract,1.0240583049475833,0.6212080313085356,digestive
411.10,Unstable angina (intermediate coronary syndrome),0.6712188076889964,0.5193135810355873,circulatory system
071.10,"HIV infection, symptomatic",0.9200585784825098,0.9269227689570865,infectious diseases
579.00,Other symptoms involving abdomen and pelvis,1.417278145067394,0.14265605159987302,digestive
411.20,Myocardial infarction,0.947856773771119,0.9707474083464412,circulatory system
078.00,Viral warts & HPV,1.1512241085452843,0.5737096695750952,infectious diseases
579.20,Splenomegaly,1.3923613936599577,0.3297607376560215,digestive
411.30,Angina pectoris,0.8612029193939866,0.6561164165629938,circulatory system
079.00,Viral infection,1.135818829887081,0.6766769269814249,infectious diseases
579.80,Nonspecific abnormal findings in stool contents,0.8641871771227251,0.26787989055456185,digestive
411.40,Coronary atherosclerosis,1.4721279589370826,0.23379962991748468,circulatory system
079.20,Infectious mononucleosis,1.4264192920590286,0.5255565145654237,infectious diseases
580.00,Nephritis; nephrosis; renal sclerosis,0.9015576018480979,0.5344728046924501,genitourinary
411.41,Aneurysm and dissection of heart,0.5559929162186402,0.5216945922440036,circulatory system
580.10,Glomerulonephritis,0.7937644184088162,0.7895514889707957,genitourinary
080.00,Postoperative infection,1.024346520112222,0.5401711053602196,infectious diseases
411.80,"Other chronic ischemic heart disease, unspecified",1.0481145211958216,0.2324640169595894,circulatory system
580.11,Proliferative glomerulonephritis,0.8208295316312593,0.9513641959489482,genitourinary
411.90,Other acute and subacute forms of ischemic heart disease,0.5455401992023428,0.8979407803640038,circulatory system
081.00,Infection/inflammation of internal prosthetic device; implant; and graft,0.8774742180129879,0.10369629447588348,infectious diseases
414.00,Other forms of chronic heart disease,0.7626292797696256,0.252292879087739,circulatory system
081.10,Graft-versus-host disease,1.1060131169366185,0.7120100489359699,infectious diseases
580.12,Non-proliferative glomerulonephritis,1.0102985980357626,0.9087191569270805,genitourinary
414.20,ASCVD,0.7884759189200659,0.9231041380897748,circulatory system
081.11,Acute graft-versus-host disease,1.222889947103802,0.7023521554123201,infectious diseases
580.13,"Acute glomerulonephritis, NOS",0.5872006940150003,0.49629269530293585,genitourinary
415.00,Pulmonary heart disease,0.8680620754865945,0.11665690898020173,circulatory system
081.12,Chronic graft-versus-host disease,1.042138009244576,0.976504360091314,infectious diseases
415.10,Acute pulmonary heart disease,0.7399736559263723,0.7252832801872304,circulatory system
580.14,"Chronic glomerulonephritis, NOS",1.2528612347488524,0.8383995735100005,genitourinary
090.00,Sexually transmitted infections (not HIV or hepatitis),1.0603763171830214,0.8426716598842243,infectious diseases
415.11,"Pulmonary embolism and infarction, acute",0.8143055277859432,0.9186326116892413,circulatory system
580.20,Nephrotic syndrome without mention of glomerulonephritis,1.3025579651594161,0.5874426254703953,genitourinary
110.00,Dermatophytosis / Dermatomycosis,0.9384644923449406,0.8864050828862298,infectious diseases
415.20,Chronic pulmonary heart disease,1.0016888670517892,0.24129315614886582,circulatory system
724.80,Other symptoms referable to back,1.7306064045313037,0.07279989045235795,musculoskeletal
580.30,Nephritis and nephropathy without mention of glomerulonephritis,1.0125388876247219,0.6903452374340292,genitourinary
110.10,Dermatophytosis,1.1488192067699272,0.49505216529327123,infectious diseases
415.21,Primary pulmonary hypertension,1.0043961348022743,0.8067234690683428,circulatory system
724.90,Other unspecified back disorders,0.7977512685691497,0.922707738650993,musculoskeletal
110.11,Dermatophytosis of nail,1.1726205196997384,0.660724201476031,infectious diseases
580.31,Nephritis and nephropathy in diseases classified elsewhere,1.153430817835126,0.4962559137510831,genitourinary
416.00,Cardiomegaly,1.3471744238880927,0.44834082227331656,circulatory system
726.00,Peripheral enthesopathies and allied syndromes,1.6052535987445153,0.10483497390255798,musculoskeletal
110.12,Althete's foot,1.2297775926115921,0.9051979943968536,infectious diseases
580.32,Nephritis and nephropathy with pathological lesion,1.6593894245079717,0.44899737215137575,genitourinary
250.13,Type 1 diabetes with ophthalmic manifestations,0.8201458871508313,0.880908274137459,endocrine/metabolic
418.00,Nonspecific chest pain,0.8687129212640131,0.46707427085880193,circulatory system
726.10,Enthesopathy,0.9659219239568413,0.10181806417501728,musculoskeletal
110.13,Dermatophytosis of the body,1.6376026680192444,0.16080905014706182,infectious diseases
580.40,"Renal sclerosis, NOS",0.7389409971356858,0.3640726335176267,genitourinary
418.10,Precordial pain,0.9188387107132164,0.9122455767201408,circulatory system
250.14,Type 1 diabetes with neurological manifestations,1.1611445060527186,0.6892743776914945,endocrine/metabolic
110.20,Dermatomycoses,1.4328677677751984,0.8453447990101385,infectious diseases
726.20,Synoviopathy,1.0052569696716587,0.6814698320657364,musculoskeletal
585.00,Renal failure,1.1367409056820907,0.11110000401372595,genitourinary
420.00,Carditis,1.4151640254736413,0.2545988093073761,circulatory system
112.00,Candidiasis,1.3741554816863617,0.419331038010254,infectious diseases
250.20,Type 2 diabetes,1.3784948409104254,0.10894889333524159,endocrine/metabolic
726.30,Bursitis,1.3644261166979559,0.9814408879463754,musculoskeletal
585.10,Acute renal failure,0.995599273177207,0.3427445773154497,genitourinary
420.20,Pericarditis,1.1501449061843017,0.08557436677191972,circulatory system
112.30,Candidiasis of skin and nails,0.8730932573143586,0.6914136469980003,infectious diseases
250.21,Type 2 diabetes with ketoacidosis,1.7602810416076098,0.705130595852388,endocrine/metabolic
726.40,Calcaneal spur; Exostosis NOS,0.5908878706658003,0.8694978953385726,musculoskeletal
585.20,Renal failure NOS,1.1128605831315386,0.10983680017092576,genitourinary
420.21,Acute pericarditis,0.9496779553740107,0.13439661545580597,circulatory system
117.00,Mycoses,1.3392788544576615,0.70403454501779,infectious diseases
250.22,Type 2 diabetes with renal manifestations,1.0822739802033594,0.1253221176241059,endocrine/metabolic
727.00,"Other disorders of synovium, tendon, and bursa",1.123974338456872,0.4484591303636553,musculoskeletal
585.30,Chronic renal failure [CKD],1.5069462540583918,0.22183656863949727,genitourinary
420.22,Chronic pericarditis,1.9332507033699657,0.19779991981286452,circulatory system
117.10,Histoplasmosis,1.431992210023105,0.40466616124874655,infectious diseases
250.23,Type 2 diabetes with ophthalmic manifestations,1.3484720533159562,0.7520190425154404,endocrine/metabolic
727.10,Synovitis and tenosynovitis,0.8585046714861445,0.3434011195039144,musculoskeletal
585.31,Renal dialysis,0.8875657890172327,0.7563049398310759,genitourinary
420.30,Endocarditis,0.705455116671576,0.5618821158560459,circulatory system
117.40,Aspergillosis,1.0658860689423715,0.6571297144358977,infectious diseases
250.24,Type 2 diabetes with neurological manifestations,1.081766860170065,0.2741051018599406,endocrine/metabolic
585.32,End stage renal disease,1.0282056413040264,0.9213168167872354,genitourinary
727.20,Bursitis disorders,1.5978568336484023,0.11321228171038557,musculoskeletal
425.00,Cardiomyopathy,1.2761753851058895,0.15240420883195374,circulatory system
130.00,Spirochetal infection,0.2799620450364193,0.22961932269937824,infectious diseases
585.33,"Chronic Kidney Disease, Stage III",1.4181765469291712,0.20960076175753814,genitourinary
250.25,Diabetes type 2 with peripheral circulatory disorders,0.9321373423392683,0.9235644683494403,endocrine/metabolic
727.40,"Ganglion and cyst of synovium, tendon, and bursa",1.058101142722182,0.9780278295103598,musculoskeletal
290.12,Dementia with cerebral degenerations,0.726305488143582,0.6255400647121715,mental disorders
425.10,Primary/intrinsic cardiomyopathies,0.7706945599918608,0.0742017939222611,circulatory system
132.00,"Infestation (lice, mites)",2.249636108098319,0.15035719582245644,infectious diseases
585.34,"Chronic Kidney Disease, Stage IV",1.4387367591621587,0.0915793586879794,genitourinary
250.30,Insulin pump user,1.3756620022690622,0.06991968135791597,endocrine/metabolic
727.50,Rupture of synovium,0.4974139017798679,0.323313235061802,musculoskeletal
290.13,Senile dementia,0.7699429824835039,0.11119309912286698,mental disorders
425.11,Hypertrophic obstructive cardiomyopathy,0.9288638040555293,0.28047344708369343,circulatory system
136.00,Other infectious and parasitic diseases,0.8387988809785221,0.6424940992215882,infectious diseases
585.40,"Chronic kidney disease, Stage I or II",0.9089052512980307,0.0633273532992648,genitourinary
727.60,"Rupture of tendon, nontraumatic",1.2253035794623428,0.8524155538644641,musculoskeletal
250.40,Abnormal glucose,1.4513562960664277,0.16882679942307596,endocrine/metabolic
425.12,Other hypertrophic cardiomyopathy,0.3114263732241721,0.29344142627955516,circulatory system
290.16,Vascular dementia,0.5353948727506185,0.29262264322782494,mental disorders
333.80,Other degenerative diseases of the basal ganglia,1.185863808841212,0.46829163694404286,neurological
145.00,Cancer of mouth,1.0380842831731891,0.90255425170550585,neoplasms
586.00,Other disorders of the kidney and ureters,1.0471801936714864,0.040137314322516326,genitourinary
250.41,Impaired fasting glucose,1.4833839452825486,0.5796983485699448,endocrine/metabolic
727.70,Contracture of tendon (sheath),1.0920012356685476,0.5998531237294049,musculoskeletal
425.20,Secondary/extrinsic cardiomyopathies,1.1969312834751327,0.9788600469264201,circulatory system
334.00,Degenerative disease of the spinal cord,0.7096357040028698,0.9556528138739406,neurological
290.20,Delirium due to conditions classified elsewhere,0.7817117977134942,0.38641331457972994,mental disorders
145.20,Cancer of tongue,1.12712720736195,0.2002382830728893,neoplasms
586.10,Anatomical abnormatilies of kidney and ureters,2.113501526203472,0.008895159828384406,genitourinary
250.42,Other abnormal glucose,1.2342709457343444,0.29278680165245896,endocrine/metabolic
727.80,Plica syndrome,1.587041619546246,0.879043782348046,musculoskeletal
425.80,Other cardiomyopathy,0.8785887871728335,0.6918593457236512,circulatory system
290.30,Other persistent mental disorders due to conditions classified elsewhere,0.7305723540067698,0.06582870501969708,mental disorders
334.10,Spinocerebellar disease,1.7270757709948812,0.45416723104775886,neurological
145.30,Cancer of major salivary glands,0.7175785306925769,0.03518559390309965,neoplasms
586.12,Vesicoureteral reflux,1.252272465388202,0.003899515575478203,genitourinary
728.00,"Disorders of muscle, ligament, and fascia",1.0732599877334432,0.6835404642399294,musculoskeletal
250.50,Glycosuria or Acetonuria,0.7992007605836442,0.7569314957474551,endocrine/metabolic
426.00,Cardiac conduction disorders,1.4648021731510525,0.3052545504881535,circulatory system
530.90,Heartburn,0.9728967124751434,0.4232040713349357,digestive
751.10,Congenital anomalies of genital organs,0.5979272139112465,0.0034317862638989353,congenital anomalies
291.00,Other specified nonpsychotic and/or transient mental disorders,1.5387016757791863,0.9517825100691989,mental disorders
145.40,Cancer of the gums,0.8615603087319409,0.7561939032781869,neoplasms
586.20,"Cyst of kidney, acquired",0.6331351658195948,0.49436807355849305,genitourinary
334.20,Anterior horn cell disease,0.678170855268768,0.5491330727670275,neurological
728.10,Muscular calcification and ossification,2.1621163824908436,0.06883389222535045,musculoskeletal
250.60,Polyneuropathy in diabetes,1.319389194860123,0.7025435513768038,endocrine/metabolic
426.20,Atrioventricular [AV] block,1.2318107919557952,0.5633475910227639,circulatory system
531.00,Peptic ulcer (excl. esophageal),1.539378042386379,0.06212754686480172,digestive
751.11,Congenital anomalies of female genital organs,0.21292428872734306,0.013724152337237769,congenital anomalies
586.30,Vascular disorders of kidney/hypertrophy,0.796223778242385,0.9034084455536795,genitourinary
145.50,Cancer of the mouth floor,1.40701405018894,0.6586889407188915,neoplasms
291.10,Transient mental disorders due to conditions classified elsewhere,0.5200816619694213,0.9888817449963652,mental disorders
728.20,Laxity of ligament or hypermobility syndrome,1.736511337888427,0.3746003001999808,musculoskeletal
250.70,Diabetic retinopathy,0.7625472233734031,0.6678809827481597,endocrine/metabolic
334.21,Amyotrophic Lateral Sclerosis,0.7234589182212108,0.9279403927741949,neurological
426.21,First degree AV block,0.7835649008005762,0.5038665097873541,circulatory system
531.10,Hemorrhage from gastrointestinal ulcer,1.326495663420962,0.053526409312920145,digestive
751.12,Congenital anomalies of male genital organs,0.43598569153156075,0.05387688521142565,congenital anomalies
586.40,Stricture/obstruction of ureter,1.3051223332458175,0.9716256030522014,genitourinary
149.00,"Cancer of larynx, pharynx, nasal cavities",1.1547046959966072,0.9447329337929259,neoplasms
291.40,Specific nonpsychotic mental disorders due to brain damage,1.3087357888081577,0.9207099822459061,mental disorders
251.00,Other disorders of pancreatic internal secretion,0.782906605702144,0.6644005817729065,endocrine/metabolic
